name,issue,founded,subject,StateAbb,region,ccode,country,city,acronym,type1,type2,type3,dissolved,staff_total,staff_central,staff_regional,links,member_countries,member_regions
European Association of Professional Fire Brigade Officers,Humanitarian,1975,Professions; Equipment; Prevention; Safety; Fire; Emotional Fulfilment,NA,europe,212,Luxembourg,Luxembourg,NA,H,x,Professional Bodies,1998,NA,NA,NA,NA,12,1
Fondation islamique du salut,Culture,1984,Religious observance; Islam,AFG,asia,700,Afghanistan,Kabul,FIS,F,f,Foundations,2009,NA,NA,NA,NA,13,3
Organisation of African Trade Union Unity,Employment,1973,Workers; Unity,ALG,africa,615,Algeria,Algiers,OATUU,D,y,"International Federations, Trade and Labour Unions",NA,26,26,0,"ILO, FAO, UNCTAD, UNIDO",54,1
Caribbean Family Planning Affiliation,Population,1971,NA,NA,americas,58,Antigua and Barbuda,StJohns,CFPA,F,NA,Human Rights Organizations,NA,0,0,0,UNFPA,20,1
Latin American Foundation for Distance Education,Education; Development,2004,Education; Distance Education,ARG,americas,160,Argentina,Mendoza,NA,F,f,Foundations,NA,NA,NA,NA,NA,0,0
Federacao Latino-Americana de Psiquiatria da Infancia e Adolescencia e Profissoes Afins,Health,1995,NA,ARG,americas,160,Argentina,BuenosAires,NA,D,NA,Professional Bodies,NA,NA,NA,NA,NA,0,0
Latin American Association of Plant Sciences,Science; Agriculture,1961,Professions; Agriculture; Crops; Agrosciences,ARG,americas,160,Argentina,BuenosAires,NA,H,d,Professional Bodies,1983,2,2,0,NA,20,2
Fundacion Iberoamericana de Seguridad y Salud Ocupacional,Employment; Humanitarian; Health,2000,Work; Occupation; Employment Conditions; Safety; Health,ARG,americas,160,Argentina,BuenosAires,FISO,F,f,Foundations,NA,NA,NA,NA,NA,5,2
Federacion Latinoamericana de Sociedades de Ciencias Cosmeticas,Science; Employment,2000,"Cosmetics, Soaps, Additives; Science",ARG,americas,160,Argentina,BuenosAires,FELASCC,D,y,International Federations,NA,NA,NA,NA,NA,10,1
American Association of Jurists,Law,1975,NA,ARG,americas,160,Argentina,BuenosAires,AAJ,D,NA,Human Rights Organizations,NA,NA,NA,NA,NA,23,2
Asociacion Internacional de Profesionales de Puertos y Costas,Transportation,1981,NA,ARG,americas,160,Argentina,BuenosAires,AIPPYC,D,NA,Professional Bodies,NA,NA,NA,NA,NA,0,0
International AIDS Women's Caucus,Rights; Health; Population,1992,Physiology; Sexually Transmitted Diseases; Women; Rights,ARG,americas,160,Argentina,BuenosAires,IAWC,F,y,"International Federations, Human Rights Organizations",NA,NA,NA,NA,NA,3,2
International Federation of Women in Legal Careers,Law,1929,NA,ARG,americas,160,Argentina,BuenosAires,IFWLC,B,NA,Human Rights Organizations,NA,NA,NA,NA,"UNESCO, ILO, FAO, UNICEF",52,8
Federacion de Asociaciones Educativas de America Latina y el Caribe,Education,1984,NA,ARG,americas,160,Argentina,BuenosAires,FAELA,D,NA,"Human Rights Organizations, Professional Bodies",NA,34,34,0,UNESCO,12,1
Latin American Association of Constitutional Law,Law; Rights,1972,Public; Law; Constitution; Empowerment; Justice; Rights,ARG,americas,160,Argentina,BuenosAires,NA,H,x,Human Rights Organizations,2002,NA,NA,NA,NA,20,1
Latin American and Caribbean Youth Network for Sexual and Reproductive Health and Rights,Health; Population,1999,NA,ARG,americas,160,Argentina,BuenosAires,REDLAC,F,NA,Human Rights Organizations,NA,NA,NA,NA,NA,14,1
"Grupo de Enlace, Investigacion y Soporte de Enfermedades Raras de Latino America",Health; Science; Development,2002,Pathology; Living Conditions; Research; Solidarity,ARG,americas,160,Argentina,Mendoza,Fundacion GEISER,F,f,Foundations,NA,NA,NA,NA,NA,22,1
"Federacion Latinoamericana de Trabajadores de las Industrias Metalurgicas, Mecanicas y Mineras",Employment; Industry,1991,NA,ARG,americas,160,Argentina,BuenosAires,FLATIM,D,NA,Trade and Labour Unions,NA,NA,NA,NA,NA,0,0
World Confederation of Education,Education,1989,Education,ARG,americas,160,Argentina,BuenosAires,NA,D,y,International Federations,NA,42,42,0,UNESCO,18,4
Latin American Social Sciences Council,Science,1967,Sociology,ARG,americas,160,Argentina,BuenosAires,NA,D,y,International Federations,NA,18,18,0,"UNESCO, ILO, OECD, UNDP",64,8
Ibero-American Lawyers' Union,Law,1976,NA,ARG,americas,160,Argentina,LaPlata,NA,D,NA,Professional Bodies,NA,NA,NA,NA,NA,22,2
Centro Latinoamericano de Derechos Humanos,Rights,2005,NA,ARG,americas,160,Argentina,Mendoza,CLADH,D,NA,Human Rights Organizations,NA,6,6,0,NA,5,1
Latin America and the Caribbean Network of TRANS People,Rights,2004,NA,ARG,americas,160,Argentina,BuenosAires,NA,D,NA,Human Rights Organizations,NA,NA,NA,NA,NA,20,1
Latin American Institute for the Ombudsman,Law; Rights,1984,Arbitration,ARG,americas,160,Argentina,BuenosAires,NA,D,j,Institutes,NA,NA,NA,NA,NA,19,2
Network of American and European Cultural Centres,Culture,2002,Culture,ARG,americas,160,Argentina,BuenosAires,NA,F,y,International Federations,NA,NA,NA,NA,NA,24,2
UNASMA - International Foundation for Asthma and Allergies,Health,1996,Physiology; Respiratory System; Athletics,ARG,americas,160,Argentina,BuenosAires,NA,F,f,Foundations,NA,NA,NA,NA,NA,13,3
Latin American Confederation of Public Sector Workers,Public Sector; Employment,1967,NA,ARG,americas,160,Argentina,BuenosAires,NA,D,NA,Trade and Labour Unions,NA,NA,NA,NA,NA,17,1
Southern Cone Trade Union Coordinating Body,Employment,1986,NA,ARG,americas,160,Argentina,BuenosAires,NA,D,NA,Trade and Labour Unions,NA,NA,NA,NA,NA,6,1
Hastinapura Foundation,Education; Security; Development,1981,Education; Peacekeeping; Idealism; Spirituality,ARG,americas,160,Argentina,BuenosAires,NA,F,fv,Foundations,NA,4,4,0,NA,4,1
Federacion Internacional del Automovil Region IV,Transportation,1941,NA,ARG,americas,160,Argentina,BuenosAires,NA,D,NA,Clubs,NA,3,3,0,NA,19,2
Confederacion Latinoamericana de Trabajadores del Transporte y las Comunicaciones,Employment; Transportation,2001,Workers; Communications,ARG,americas,160,Argentina,BuenosAires,CLTTC,H,x,Trade and Labour Unions,2010,NA,NA,NA,NA,18,1
Network of Women Sex Workers from Latin America and the Caribbean,Rights,1997,NA,ARG,americas,160,Argentina,BuenosAires,NA,D,NA,Human Rights Organizations,NA,NA,NA,NA,NA,15,1
Comit� Regional de Sanidad Vegetal del Cono Sur,Agriculture; Law,1991,NA,ARG,americas,160,Argentina,BuenosAires,NA,F,g,Institutes,NA,NA,NA,NA,NA,0,0
